guard violation: {'reason': 'velocity', 'requested': 1.0, 'clamped': 0.041625, 'axis': 'gripper', 'seq': 1}
guard violation: {'reason': 'velocity', 'requested': 0.03999999910593033, 'clamped': 0.020664993673563004, 'joint': 8, 'seq': 230}
guard violation: {'reason': 'velocity', 'requested': 0.03999999910593033, 'clamped': 0.021164992824196815, 'joint': 7, 'seq': 231}
guard violation: {'reason': 'velocity', 'requested': 0.03999999910593033, 'clamped': 0.021164992824196815, 'joint': 8, 'seq': 232}
guard violation: {'reason': 'velocity', 'requested': 0.03999999910593033, 'clamped': 0.021664991974830627, 'joint': 7, 'seq': 233}
guard violation: {'reason': 'velocity', 'requested': 0.03999999910593033, 'clamped': 0.021664991974830627, 'joint': 8, 'seq': 234}
guard violation: {'reason': 'velocity', 'requested': 0.03999999910593033, 'clamped': 0.02216499112546444, 'joint': 7, 'seq': 235}
guard violation: {'reason': 'velocity', 'requested': 0.03999999910593033, 'clamped': 0.02216499112546444, 'joint': 8, 'seq': 236}
guard violation: {'reason': 'velocity', 'requested': 0.03999999910593033, 'clamped': 0.02266499027609825, 'joint': 7, 'seq': 237}
guard violation: {'reason': 'velocity', 'requested': 0.03999999910593033, 'clamped': 0.02266499027609825, 'joint': 8, 'seq': 238}
guard violation: {'reason': 'velocity', 'requested': 0.03999999910593033, 'clamped': 0.023164989426732063, 'joint': 7, 'seq': 239}
guard violation: {'reason': 'velocity', 'requested': 0.03999999910593033, 'clamped': 0.023164989426732063, 'joint': 8, 'seq': 240}
guard violation: {'reason': 'velocity', 'requested': 0.03999999910593033, 'clamped': 0.023664988577365875, 'joint': 7, 'seq': 241}
guard violation: {'reason': 'velocity', 'requested': 0.03999999910593033, 'clamped': 0.023664988577365875, 'joint': 8, 'seq': 242}
guard violation: {'reason': 'velocity', 'requested': 0.03999999910593033, 'clamped': 0.024164987727999687, 'joint': 7, 'seq': 243}
guard violation: {'reason': 'velocity', 'requested': 0.03999999910593033, 'clamped': 0.024164987727999687, 'joint': 8, 'seq': 244}
guard violation: {'reason': 'velocity', 'requested': 0.03999999910593033, 'clamped': 0.0246649868786335, 'joint': 7, 'seq': 245}
guard violation: {'reason': 'velocity', 'requested': 0.03999999910593033, 'clamped': 0.0246649868786335, 'joint': 8, 'seq': 246}
guard violation: {'reason': 'velocity', 'requested': 0.03999999910593033, 'clamped': 0.02516498602926731, 'joint': 7, 'seq': 247}
guard violation: {'reason': 'velocity', 'requested': 0.03999999910593033, 'clamped': 0.02516498602926731, 'joint': 8, 'seq': 248}
guard violation: {'reason': 'velocity', 'requested': 0.03999999910593033, 'clamped': 0.025664985179901123, 'joint': 7, 'seq': 249}
guard violation: {'reason': 'velocity', 'requested': 0.03999999910593033, 'clamped': 0.025664985179901123, 'joint': 8, 'seq': 250}
guard violation: {'reason': 'velocity', 'requested': 0.03999999910593033, 'clamped': 0.026164984330534935, 'joint': 7, 'seq': 251}
guard violation: {'reason': 'velocity', 'requested': 0.03999999910593033, 'clamped': 0.026164984330534935, 'joint': 8, 'seq': 252}
guard violation: {'reason': 'velocity', 'requested': 0.03999999910593033, 'clamped': 0.026664983481168747, 'joint': 7, 'seq': 253}
guard violation: {'reason': 'velocity', 'requested': 0.03999999910593033, 'clamped': 0.026664983481168747, 'joint': 8, 'seq': 254}
guard violation: {'reason': 'velocity', 'requested': 0.03999999910593033, 'clamped': 0.02716498263180256, 'joint': 7, 'seq': 255}
guard violation: {'reason': 'velocity', 'requested': 0.03999999910593033, 'clamped': 0.02716498263180256, 'joint': 8, 'seq': 256}
guard violation: {'reason': 'velocity', 'requested': 0.03999999910593033, 'clamped': 0.02766498178243637, 'joint': 7, 'seq': 257}
guard violation: {'reason': 'velocity', 'requested': 0.03999999910593033, 'clamped': 0.02766498178243637, 'joint': 8, 'seq': 258}
guard violation: {'reason': 'velocity', 'requested': 0.03999999910593033, 'clamped': 0.028164980933070183, 'joint': 7, 'seq': 259}
guard violation: {'reason': 'velocity', 'requested': 0.03999999910593033, 'clamped': 0.028164980933070183, 'joint': 8, 'seq': 260}
guard violation: {'reason': 'velocity', 'requested': 0.03999999910593033, 'clamped': 0.028664980083703995, 'joint': 7, 'seq': 261}
guard violation: {'reason': 'velocity', 'requested': 0.03999999910593033, 'clamped': 0.028664980083703995, 'joint': 8, 'seq': 262}
guard violation: {'reason': 'velocity', 'requested': 0.03999999910593033, 'clamped': 0.029164979234337807, 'joint': 7, 'seq': 263}
guard violation: {'reason': 'velocity', 'requested': 0.03999999910593033, 'clamped': 0.029164979234337807, 'joint': 8, 'seq': 264}
guard violation: {'reason': 'velocity', 'requested': 0.03999999910593033, 'clamped': 0.02966497838497162, 'joint': 7, 'seq': 265}
guard violation: {'reason': 'velocity', 'requested': 0.03999999910593033, 'clamped': 0.02966497838497162, 'joint': 8, 'seq': 266}
guard violation: {'reason': 'velocity', 'requested': 0.03999999910593033, 'clamped': 0.03016497753560543, 'joint': 7, 'seq': 267}
guard violation: {'reason': 'velocity', 'requested': 0.03999999910593033, 'clamped': 0.03016497753560543, 'joint': 8, 'seq': 268}
guard violation: {'reason': 'velocity', 'requested': 0.03999999910593033, 'clamped': 0.030664976686239243, 'joint': 7, 'seq': 269}
guard violation: {'reason': 'velocity', 'requested': 0.03999999910593033, 'clamped': 0.030664976686239243, 'joint': 8, 'seq': 270}
guard violation: {'reason': 'velocity', 'requested': 0.03999999910593033, 'clamped': 0.031164975836873055, 'joint': 7, 'seq': 271}
guard violation: {'reason': 'velocity', 'requested': 0.03999999910593033, 'clamped': 0.031164975836873055, 'joint': 8, 'seq': 272}
guard violation: {'reason': 'velocity', 'requested': 0.03999999910593033, 'clamped': 0.031664974987506866, 'joint': 7, 'seq': 273}
guard violation: {'reason': 'velocity', 'requested': 0.03999999910593033, 'clamped': 0.031664974987506866, 'joint': 8, 'seq': 274}
guard violation: {'reason': 'velocity', 'requested': 0.03999999910593033, 'clamped': 0.03216497600078583, 'joint': 7, 'seq': 275}
guard violation: {'reason': 'velocity', 'requested': 0.03999999910593033, 'clamped': 0.03216497600078583, 'joint': 8, 'seq': 276}
guard violation: {'reason': 'velocity', 'requested': 0.03999999910593033, 'clamped': 0.03266497701406479, 'joint': 7, 'seq': 277}
guard violation: {'reason': 'velocity', 'requested': 0.03999999910593033, 'clamped': 0.03266497701406479, 'joint': 8, 'seq': 278}
guard violation: {'reason': 'velocity', 'requested': 0.03999999910593033, 'clamped': 0.03316497802734375, 'joint': 7, 'seq': 279}
guard violation: {'reason': 'velocity', 'requested': 0.03999999910593033, 'clamped': 0.03316497802734375, 'joint': 8, 'seq': 280}
guard violation: {'reason': 'velocity', 'requested': 0.03999999910593033, 'clamped': 0.03366497904062271, 'joint': 7, 'seq': 281}
guard violation: {'reason': 'velocity', 'requested': 0.03999999910593033, 'clamped': 0.03366497904062271, 'joint': 8, 'seq': 282}
guard violation: {'reason': 'velocity', 'requested': 0.03999999910593033, 'clamped': 0.03416498005390167, 'joint': 7, 'seq': 283}
guard violation: {'reason': 'velocity', 'requested': 0.03999999910593033, 'clamped': 0.03416498005390167, 'joint': 8, 'seq': 284}
guard violation: {'reason': 'velocity', 'requested': 0.03999999910593033, 'clamped': 0.034664981067180634, 'joint': 7, 'seq': 285}
guard violation: {'reason': 'velocity', 'requested': 0.03999999910593033, 'clamped': 0.034664981067180634, 'joint': 8, 'seq': 286}
guard violation: {'reason': 'velocity', 'requested': 0.03999999910593033, 'clamped': 0.035164982080459595, 'joint': 7, 'seq': 287}
guard violation: {'reason': 'velocity', 'requested': 0.03999999910593033, 'clamped': 0.035164982080459595, 'joint': 8, 'seq': 288}
guard violation: {'reason': 'velocity', 'requested': 0.03999999910593033, 'clamped': 0.035664983093738556, 'joint': 7, 'seq': 289}
guard violation: {'reason': 'velocity', 'requested': 0.03999999910593033, 'clamped': 0.035664983093738556, 'joint': 8, 'seq': 290}
guard violation: {'reason': 'velocity', 'requested': 0.03999999910593033, 'clamped': 0.03616498410701752, 'joint': 7, 'seq': 291}
guard violation: {'reason': 'velocity', 'requested': 0.03999999910593033, 'clamped': 0.03616498410701752, 'joint': 8, 'seq': 292}
guard violation: {'reason': 'velocity', 'requested': 0.03999999910593033, 'clamped': 0.03666498512029648, 'joint': 7, 'seq': 293}
guard violation: {'reason': 'velocity', 'requested': 0.03999999910593033, 'clamped': 0.03666498512029648, 'joint': 8, 'seq': 294}
guard violation: {'reason': 'velocity', 'requested': 0.03999999910593033, 'clamped': 0.03716498613357544, 'joint': 7, 'seq': 295}
guard violation: {'reason': 'velocity', 'requested': 0.03999999910593033, 'clamped': 0.03716498613357544, 'joint': 8, 'seq': 296}
guard violation: {'reason': 'velocity', 'requested': 0.03999999910593033, 'clamped': 0.0376649871468544, 'joint': 7, 'seq': 297}
guard violation: {'reason': 'velocity', 'requested': 0.03999999910593033, 'clamped': 0.0376649871468544, 'joint': 8, 'seq': 298}
guard violation: {'reason': 'velocity', 'requested': 0.03999999910593033, 'clamped': 0.03816498816013336, 'joint': 7, 'seq': 299}
guard violation: {'reason': 'velocity', 'requested': 0.03999999910593033, 'clamped': 0.03816498816013336, 'joint': 8, 'seq': 300}
guard violation: {'reason': 'velocity', 'requested': 0.03999999910593033, 'clamped': 0.03866498917341232, 'joint': 7, 'seq': 301}
guard violation: {'reason': 'velocity', 'requested': 0.03999999910593033, 'clamped': 0.03866498917341232, 'joint': 8, 'seq': 302}
guard violation: {'reason': 'velocity', 'requested': 0.03999999910593033, 'clamped': 0.039164990186691284, 'joint': 7, 'seq': 303}
guard violation: {'reason': 'velocity', 'requested': 0.03999999910593033, 'clamped': 0.039164990186691284, 'joint': 8, 'seq': 304}
guard violation: {'reason': 'velocity', 'requested': 0.03999999910593033, 'clamped': 0.039664991199970245, 'joint': 7, 'seq': 305}
guard violation: {'reason': 'velocity', 'requested': 0.03999999910593033, 'clamped': 0.039664991199970245, 'joint': 8, 'seq': 306}
